Ticker,URL,Company Name
GOP,https://www.investing.com/equities/games-operators-sa-technical,Unusual Whales Subversive Republican Trading ETF
HCA,https://www.investing.com/equities/hca-holdings-inc-technical,HCA Healthcare, Inc.
HD,https://www.investing.com/equities/home-depot-technical,The Home Depot, Inc.
HKXCY,https://www.investing.com/equities/hong-kong-exchange---clearing-technical,Hong Kong Exchanges and Clearing Limited
HOOD,https://www.investing.com/equities/robinhood-markets-technical,Robinhood Markets, Inc.
HWM,https://www.investing.com/equities/howmet-aerospace-inc-technical,Howmet Aerospace Inc.
IBKR,https://www.investing.com/equities/interactive-broke-technical,Interactive Brokers Group, Inc.
IBN,https://www.investing.com/equities/icici-bank-technical,ICICI Bank Limited
ICE,https://www.investing.com/equities/intercontintlex-technical,Intercontinental Exchange, Inc.
IDCBY,https://www.investing.com/equities/industrial-commercial-bank-of-china-technical,Industrial and Commercial Bank of China Limited
IDXX,https://www.investing.com/equities/idexx-laboratorie-technical,IDEXX Laboratories, Inc.
IFNNY,https://www.investing.com/equities/infineon-technologies-ag-technical,Infineon Technologies AG
INFY,https://www.investing.com/equities/infosys-technical,Infosys Limited
ING,https://www.investing.com/equities/ing-group-nv-technical,ING Groep N.V.
ITOCY,https://www.investing.com/equities/itochu-corp-technical,ITOCHU Corporation
JCI,https://www.investing.com/equities/johnson-controls-technical,Johnson Controls International plc
JD,https://www.investing.com/equities/jd.com-inc-adr-technical,JD.com, Inc.
JPM,https://www.investing.com/equities/jp-morgan-chase-technical,JPMorgan Chase & Co.
KDDIY,https://www.investing.com/equities/kddi-corp-pk-technical,KDDI Corporation
KKR,https://www.investing.com/equities/kkr---co-lp-technical,KKR & Co. Inc.
KMI,https://www.investing.com/equities/kinder-morgan-technical,Kinder Morgan, Inc.
LHX,https://www.investing.com/equities/harris-corporation-technical,L3Harris Technologies, Inc.
LLY,https://www.investing.com/equities/eli-lilly-and-co-technical,Eli Lilly and Company
LNG,https://www.investing.com/equities/cheniere-energy-inc-technical,Cheniere Energy, Inc.
LNSTY,https://www.investing.com/equities/london-stock-exchange-adr-technical,London Stock Exchange Group plc
LOW,https://www.investing.com/equities/lowes-companies-technical,Lowe's Companies, Inc.
LRCX,https://www.investing.com/equities/lam-research-corp-technical,Lam Research Corporation
LYG,https://www.investing.com/equities/lloyds-banking-group-plc-technical,Lloyds Banking Group plc
MA,https://www.investing.com/equities/mastercard-cl-a-technical,Mastercard Incorporated
MBGYY,https://www.investing.com/equities/daimler-adr-technical,Mercedes-Benz Group AG
MCK,https://www.investing.com/equities/mckesson-corp-technical,McKesson Corporation
MDLZ,https://www.investing.com/equities/mondelez-international-inc-technical,Mondelez International, Inc.
MDT,https://www.investing.com/equities/medtronic-plc-technical,Medtronic plc
MELI,https://www.investing.com/equities/mercadolibre-inc-technical,MercadoLibre, Inc.
MET,https://www.investing.com/equities/metlife-inc-technical,MetLife, Inc.
META,https://www.investing.com/equities/facebook-inc-technical,Meta Platforms, Inc.
MFC,https://www.investing.com/equities/manulife-financial-corporation-technical,Manulife Financial Corporation
MFG,https://www.investing.com/equities/mizuho-technical,Mizuho Financial Group, Inc.
MIELY,https://www.investing.com/equities/mitsubishi-electric-corp-technical,Mitsubishi Electric Corporation
MITSY,https://www.investing.com/equities/mitsui---company-ltd-technical,Mitsui & Co., Ltd.
MKKGY,https://www.investing.com/equities/merck-kgaa-technical,Merck KGaA
MLPX,https://www.investing.com/etfs/global-x-mlp---energy-infrs,Global X MLP & Energy Infrastructure ETF
MMM,https://www.investing.com/equities/3m-co-technical,3M Company
MNST,https://www.investing.com/equities/monster-beverage-technical,Monster Beverage Corporation
MPNGY,https://www.investing.com/equities/meituan-adr-technical,Meituan
MRK,https://www.investing.com/equities/merck---co-technical,Merck & Co., Inc.
MRVL,https://www.investing.com/equities/marvell-technology-group-ltd-technical,Marvell Technology, Inc.
MSFT,https://www.investing.com/equities/microsoft-corp-technical,Microsoft Corporation
MSI,https://www.investing.com/equities/motorola-inc-technical,Motorola Solutions, Inc.
MSTR,https://www.investing.com/equities/microstrategy-inc-technical,Strategy Inc
MU,https://www.investing.com/equities/micron-tech-technical,Micron Technology, Inc.
NDAQ,https://www.investing.com/equities/nasdaq-omx-group-technical,Nasdaq, Inc.
NEE,https://www.investing.com/equities/nextera-energy-inc-technical,NextEra Energy, Inc.
NEM,https://www.investing.com/equities/newmont-mining-technical,Newmont Corporation
NET,https://www.investing.com/equities/cloudflare-inc-technical,Cloudflare, Inc.
NFLX,https://www.investing.com/equities/netflix-inc-technical,Netflix, Inc.
NGG,https://www.investing.com/equities/national-grid-transco-plc-technical,National Grid plc
NKE,https://www.investing.com/equities/nike-technical,NIKE, Inc.
NOW,https://www.investing.com/equities/servicenow-inc-technical,ServiceNow, Inc.
NPSNY,https://www.investing.com/equities/naspers-ltd-pk-technical,Naspers Limited
NTDOY,https://www.investing.com/equities/nintendo-co-technical,Nintendo Co., Ltd.
NTTYY,https://www.investing.com/equities/nippon-telegraph-technical,NTT, Inc.
NU,https://www.investing.com/equities/nu-holdings-ltd-technical,Nu Holdings Ltd.
NVDA,https://www.investing.com/equities/nvidia-corp-technical,NVIDIA Corporation
NWG,https://www.investing.com/equities/natwest-group-plc-technical,NatWest Group plc
NXPI,https://www.investing.com/equities/nxp-semiconductors-technical,NXP Semiconductors N.V.
ORCL,https://www.investing.com/equities/oracle-corp-technical,Oracle Corporation
ORLY,https://www.investing.com/equities/oreilly-automotive-technical,O'Reilly Automotive, Inc.
PANW,https://www.investing.com/equities/palo-alto-netwrk-technical,Palo Alto Networks, Inc.
PBR,https://www.investing.com/equities/petroleo-bras-technical,Petróleo Brasileiro S.A. - Petrobras
PDD,https://www.investing.com/equities/pinduoduo-technical,PDD Holdings Inc.
PG,https://www.investing.com/equities/procter-gamble-technical,The Procter & Gamble Company
PH,https://www.investing.com/equities/parkerhannifin-technical,Parker-Hannifin Corporation
PLD,https://www.investing.com/equities/prologis-technical,Prologis, Inc.
PNC,https://www.investing.com/equities/pnc-fin-serv-technical,The PNC Financial Services Group, Inc.
PWR,https://www.investing.com/equities/quanta-services-technical,Quanta Services, Inc.
QCOM,https://www.investing.com/equities/qualcomm-inc-technical,QUALCOMM Incorporated
RBGLY,https://www.investing.com/equities/reckitt-benckiser-group-plc-technical,Reckitt Benckiser Group plc
RBLX,https://www.investing.com/equities/roblox-corp-technical,Roblox Corporation
RCL,https://www.investing.com/equities/royal-caribbean-technical,Royal Caribbean Cruises Ltd.
REGN,https://www.investing.com/equities/regeneron-pharmaceuticals-inc-technical,Regeneron Pharmaceuticals, Inc.
RIO,https://www.investing.com/equities/rio-tinto-technical,Rio Tinto Group
ROP,https://www.investing.com/equities/roper-industries-technical,Roper Technologies, Inc.
RSG,https://www.investing.com/equities/republic-services-inc-technical,Republic Services, Inc.
RTX,https://www.investing.com/equities/united-tech-technical,RTX Corporation
RYCEY,https://www.investing.com/equities/rolls-royce-holdings-plc-technical,Rolls-Royce Holdings plc
SAP,https://www.investing.com/equities/sap-ag-ads-exch-technical,SAP SE
